Abilities,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fighting,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Alolan Form,Att,BMI,BST,Catch Rate,Def,Experience to level 100,Experience type,Final Evolution,Galarian Form,Generation,HP,Height,Legendary,Mean,Mega Evolution,Name,Number,Spa,Spd,Spe,Standard Deviation,Type 1,Type 2,Weight,_id
"['Big Pecks', 'Keen Eye', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,80,17.6,479,45,75,1059860,Medium Slow,1.0,0.0,1.0,83,1.5,0.0,79.83333333333333,0.0,Pidgeot,18,70,70,101,10.605292179955356,Normal,Flying,39.5,635f06c6d0384d8adc85cecd
"['No Guard']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,80,10.4,579,45,80,1059860,Medium Slow,1.0,0.0,6.0,83,2.2,0.0,96.5,1.0,Mega Pidgeot,18,135,80,121,22.66237704507921,Normal,Flying,50.5,635f06c6d0384d8adc85cece
"['Guts', 'Hustle', 'Run Away']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,56,38.9,253,255,35,1000000,Medium Fast,0.0,0.0,1.0,30,0.3,0.0,42.16666666666666,0.0,Rattata,19,25,35,72,16.46629554237652,Normal,,3.5,635f06c6d0384d8adc85cecf
"['Gluttony', 'Hustle', 'Thick Fat']",2.0,0.5,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,56,42.2,253,255,35,1000000,Medium Fast,0.0,0.0,7.0,30,0.3,0.0,42.16666666666666,0.0,Alolan Rattata,19,25,35,72,16.46629554237652,Dark,Normal,3.8,635f06c6d0384d8adc85ced0
"['Guts', 'Hustle', 'Run Away']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,81,37.8,413,127,60,1000000,Medium Fast,1.0,0.0,1.0,55,0.7,0.0,68.83333333333333,0.0,Raticate,20,50,70,97,16.15979235290135,Normal,,18.5,635f06c6d0384d8adc85ced1
"['Gluttony', 'Hustle', 'Thick Fat']",2.0,0.5,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,71,52.0,413,127,70,1000000,Medium Fast,1.0,0.0,7.0,75,0.7,0.0,68.83333333333333,0.0,Alolan Raticate,20,40,80,77,13.334374959313074,Dark,Normal,25.5,635f06c6d0384d8adc85ced2
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,60,22.2,262,255,30,1000000,Medium Fast,0.0,0.0,1.0,40,0.3,0.0,43.66666666666666,0.0,Spearow,21,31,31,70,15.712698332523566,Normal,Flying,2.0,635f06c6d0384d8adc85ced3
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,90,26.4,442,90,65,1000000,Medium Fast,1.0,0.0,1.0,65,1.2,0.0,73.66666666666667,0.0,Fearow,22,61,61,100,15.445243784270794,Normal,Flying,38.0,635f06c6d0384d8adc85ced4
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,60,1.7,288,255,44,1000000,Medium Fast,0.0,0.0,1.0,35,2.0,0.0,48.0,0.0,Ekans,23,40,54,55,8.925618559330589,Poison,,6.9,635f06c6d0384d8adc85ced5
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,95,5.3,448,90,69,1000000,Medium Fast,1.0,0.0,1.0,60,3.5,0.0,74.66666666666667,0.0,Arbok,24,65,79,80,11.55662388223981,Poison,,65.0,635f06c6d0384d8adc85ced6
"['Lightning Rod', 'Static']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,55,37.5,320,190,40,1000000,Medium Fast,0.0,0.0,1.0,35,0.4,0.0,53.333333333333336,0.0,Pikachu,25,50,50,90,17.716909687891082,Electric,,6.0,635f06c6d0384d8adc85ced7
"['Lightning Rod', 'Static']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,90,46.9,485,75,55,1000000,Medium Fast,1.0,0.0,1.0,60,0.8,0.0,80.83333333333333,0.0,Raichu,26,90,80,110,18.800856954464127,Electric,,30.0,635f06c6d0384d8adc85ced8
"['Surge Surfer']",2.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,85,42.9,485,75,50,1000000,Medium Fast,1.0,0.0,7.0,60,0.7,0.0,80.83333333333333,0.0,Alolan Raichu,26,95,85,110,20.292992769809867,Electric,Psychic,21.0,635f06c6d0384d8adc85ced9
"['Sand Rush', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.0,75,33.3,300,255,85,1000000,Medium Fast,0.0,0.0,1.0,50,0.6,0.0,50.0,0.0,Sandshrew,27,20,30,40,23.27373340628157,Ground,,12.0,635f06c6d0384d8adc85ceda
"['Slush Rush', 'Snow Cloak']",0.5,1.0,0.5,1.0,0.5,4.0,4.0,0.5,1.0,0.5,2.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,1.0,75,81.6,300,255,90,1000000,Medium Fast,0.0,0.0,7.0,50,0.7,0.0,50.0,0.0,Alolan Sandshrew,27,10,35,40,26.29955639676584,Ice,Steel,40.0,635f06c6d0384d8adc85cedb
"['Sand Rush', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.0,100,29.5,450,90,110,1000000,Medium Fast,1.0,0.0,1.0,75,1.0,0.0,75.0,0.0,Sandslash,28,45,55,65,23.27373340628157,Ground,,29.5,635f06c6d0384d8adc85cedc
"['Slush Rush', 'Snow Cloak']",0.5,1.0,0.5,1.0,0.5,4.0,4.0,0.5,1.0,0.5,2.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,1.0,100,38.2,450,90,120,1000000,Medium Fast,1.0,0.0,7.0,75,1.2,0.0,75.0,0.0,Alolan Sandslash,28,25,65,65,29.8607881119482,Ice,Steel,55.0,635f06c6d0384d8adc85cedd
"['Hustle', 'Poison Point', 'Rivalry']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,47,43.8,275,235,52,1059860,Medium Slow,0.0,0.0,1.0,55,0.4,0.0,45.833333333333336,0.0,Nidoran♀,29,40,40,41,5.983774357005413,Poison,,7.0,635f06c6d0384d8adc85cede
"['Hustle', 'Poison Point', 'Rivalry']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,62,31.3,365,120,67,1059860,Medium Slow,0.0,0.0,1.0,70,0.8,0.0,60.833333333333336,0.0,Nidorina,30,55,55,56,5.983774357005413,Poison,,20.0,635f06c6d0384d8adc85cedf
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0.0,92,35.5,505,45,87,1059860,Medium Slow,1.0,0.0,1.0,90,1.3,0.0,84.16666666666667,0.0,Nidoqueen,31,75,85,76,6.517071598672383,Poison,Ground,60.0,635f06c6d0384d8adc85cee0
"['Hustle', 'Poison Point', 'Rivalry']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,57,36.0,273,235,40,1059860,Medium Slow,0.0,0.0,1.0,46,0.5,0.0,45.5,0.0,Nidoran♂,32,40,40,50,6.370504951205464,Poison,,9.0,635f06c6d0384d8adc85cee1
"['Hustle', 'Poison Point', 'Rivalry']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,72,24.1,365,120,57,1059860,Medium Slow,0.0,0.0,1.0,61,0.9,0.0,60.833333333333336,0.0,Nidorino,33,55,55,65,6.121455890735652,Poison,,19.5,635f06c6d0384d8adc85cee2
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0.0,102,31.6,505,45,77,1059860,Medium Slow,1.0,0.0,1.0,81,1.4,0.0,84.16666666666667,0.0,Nidoking,34,85,75,85,8.801830617673929,Poison,Ground,62.0,635f06c6d0384d8adc85cee3
"['Cute Charm', 'Friend Guard', 'Magic Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,45,20.8,323,150,48,800000,Fast,0.0,0.0,1.0,70,0.6,0.0,53.833333333333336,0.0,Clefairy,35,60,65,35,12.184917817622823,Fairy,,7.5,635f06c6d0384d8adc85cee4
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,70,23.7,483,25,73,800000,Fast,1.0,0.0,1.0,95,1.3,0.0,80.5,0.0,Clefable,36,95,90,60,13.524668819112232,Fairy,,40.0,635f06c6d0384d8adc85cee5
"['Drought', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,41,27.5,299,190,40,1000000,Medium Fast,0.0,0.0,1.0,38,0.6,0.0,49.833333333333336,0.0,Vulpix,37,50,65,65,11.363929289153855,Fire,,9.9,635f06c6d0384d8adc85cee6
"['Snow Cloak', 'Snow Warning']",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,41,27.5,299,190,40,1000000,Medium Fast,0.0,0.0,7.0,38,0.6,0.0,49.833333333333336,0.0,Alolan Vulpix,37,50,65,65,11.363929289153855,Ice,,9.9,635f06c6d0384d8adc85cee7
"['Drought', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,76,16.4,505,75,75,1000000,Medium Fast,1.0,0.0,1.0,73,1.1,0.0,84.16666666666667,0.0,Ninetales,38,81,100,100,11.451588924201255,Fire,,19.9,635f06c6d0384d8adc85cee8
"['Snow Cloak', 'Snow Warning']",0.5,0.5,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,4.0,1.0,1.0,67,16.4,505,75,75,1000000,Medium Fast,1.0,0.0,7.0,73,1.1,0.0,84.16666666666667,0.0,Alolan Ninetales,38,81,100,109,15.170329228098147,Ice,Fairy,19.9,635f06c6d0384d8adc85cee9
"['Competitive', 'Cute Charm', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,45,22.0,270,170,20,800000,Fast,0.0,0.0,1.0,115,0.5,0.0,45.0,0.0,Jigglypuff,39,45,25,20,33.040379335998345,Normal,Fairy,5.5,635f06c6d0384d8adc85ceea
"['Competitive', 'Cute Charm', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,70,12.0,435,50,45,800000,Fast,1.0,0.0,1.0,140,1.0,0.0,72.5,0.0,Wigglytuff,40,85,50,45,33.509948771471834,Normal,Fairy,12.0,635f06c6d0384d8adc85ceeb
"['Infiltrator', 'Inner Focus']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,45,11.7,245,255,35,1000000,Medium Fast,0.0,0.0,1.0,40,0.8,0.0,40.833333333333336,0.0,Zubat,41,30,40,55,7.861650943380503,Poison,Flying,7.5,635f06c6d0384d8adc85ceec
"['Infiltrator', 'Inner Focus']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,80,21.5,455,90,70,1000000,Medium Fast,0.0,0.0,1.0,75,1.6,0.0,75.83333333333333,0.0,Golbat,42,65,75,90,7.861650943380503,Poison,Flying,55.0,635f06c6d0384d8adc85ceed
"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,50,21.6,320,255,55,1059860,Medium Slow,0.0,0.0,1.0,45,0.5,0.0,53.333333333333336,0.0,Oddish,43,75,65,30,14.337208778404378,Grass,Poison,5.4,635f06c6d0384d8adc85ceee
"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,65,13.4,395,120,70,1059860,Medium Slow,0.0,0.0,1.0,60,0.8,0.0,65.83333333333333,0.0,Gloom,44,85,75,40,13.969212178533509,Grass,Poison,8.6,635f06c6d0384d8adc85ceef
"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,80,12.9,490,45,85,1059860,Medium Slow,1.0,0.0,1.0,75,1.2,0.0,81.66666666666667,0.0,Vileplume,45,110,90,50,17.950549357115012,Grass,Poison,18.6,635f06c6d0384d8adc85cef0
"['Damp', 'Dry Skin', 'Effect Spore']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.0,70,60.0,285,190,55,1000000,Medium Fast,0.0,0.0,1.0,35,0.3,0.0,47.5,0.0,Paras,46,45,55,25,14.648663192705788,Bug,Grass,5.4,635f06c6d0384d8adc85cef1
"['Damp', 'Dry Skin', 'Effect Spore']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.0,95,29.5,405,75,80,1000000,Medium Fast,1.0,0.0,1.0,60,1.0,0.0,67.5,0.0,Parasect,47,60,80,30,20.766559657295183,Bug,Grass,29.5,635f06c6d0384d8adc85cef2
"['Run Away', 'Tinted Lens']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,55,30.0,305,190,50,1000000,Medium Fast,0.0,0.0,1.0,60,1.0,0.0,50.833333333333336,0.0,Venonat,48,40,55,45,6.718548123582125,Bug,Poison,30.0,635f06c6d0384d8adc85cef3
"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,65,5.6,450,75,60,1000000,Medium Fast,1.0,0.0,1.0,70,1.5,0.0,75.0,0.0,Venomoth,49,90,75,90,11.547005383792516,Bug,Poison,12.5,635f06c6d0384d8adc85cef4
"['Arena Trap', 'Sand Force', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.0,55,20.0,265,255,25,1000000,Medium Fast,0.0,0.0,1.0,10,0.2,0.0,44.16666666666666,0.0,Diglett,50,35,45,95,26.83540364684103,Ground,,0.8,635f06c6d0384d8adc85cef5
"['Sand Force', 'Sand Veil', 'Tangling Hair']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,1.0,55,25.0,265,255,30,1000000,Medium Fast,0.0,0.0,7.0,10,0.2,0.0,44.16666666666666,0.0,Alolan Diglett,50,35,45,90,24.73470346609305,Ground,Steel,1.0,635f06c6d0384d8adc85cef6
"['Arena Trap', 'Sand Force', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.0,100,68.0,425,50,50,1000000,Medium Fast,1.0,0.0,1.0,35,0.7,0.0,70.83333333333333,0.0,Dugtrio,51,50,70,120,30.05781466145239,Ground,,33.3,635f06c6d0384d8adc85cef7
"['Sand Force', 'Sand Veil', 'Tangling Hair']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,1.0,100,135.9,425,50,60,1000000,Medium Fast,1.0,0.0,7.0,35,0.7,0.0,70.83333333333333,0.0,Alolan Dugtrio,51,50,70,110,26.523050771399248,Ground,Steel,66.6,635f06c6d0384d8adc85cef8
"['Pickup', 'Technician', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,45,26.3,290,255,35,1000000,Medium Fast,0.0,0.0,1.0,40,0.4,0.0,48.333333333333336,0.0,Meowth,52,40,40,90,18.856180831641268,Normal,,4.2,635f06c6d0384d8adc85cef9
